2018-12-22__20:36:09 0.64 68.00 36.00°C note
2018-12-22__20:36:15 0.63 33.00 36.00°C normal
2018-12-22__20:36:20 0.65 20.00 38.00°C normal
2018-12-22__20:36:26 0.66 68.00 38.00°C note
2018-12-22__20:36:32 0.66 6.00 37.00°C normal
2018-12-23__09:24:03 average:0.65 0.73  8.00 22.00°C normal
2018-12-23__09:24:09 average:0.59 0.72  2.00 21.00°C normal
2018-12-23__09:24:14 average:0.55 0.71  3.00 22.00°C normal
2018-12-23__09:24:20 average:0.62 0.72  1.00 22.00°C normal
2018-12-23__09:24:25 average:0.57 0.70  0.00 22.00°C normal
2018-12-23__09:24:31 average:0.61 0.71  4.00 22.00°C normal
2018-12-23__09:24:36 average:0.56 0.70  11.00 22.00°C normal
2018-12-23__09:24:42 average:0.51 0.68  1.00 22.00°C normal
2018-12-23__09:24:48 average:0.47 0.67  17.00 22.00°C normal
2018-12-23__09:24:53 average:0.51 0.68  10.00 22.00°C normal
2018-12-23__10:16:09 0.99 1.15 1.00 7.00 49.00°C normal
2018-12-23__10:16:15 0.91 1.13 0.99 48.00 49.00°C normal
2018-12-23__10:16:21 1.00 1.14 1.00 24.00 48.00°C normal
2018-12-23__10:16:26 1.00 1.14 1.00 23.00 48.00°C normal
2018-12-23__10:16:32 0.92 1.12 0.99 18.00 48.00°C normal
2018-12-23__10:16:37 0.93 1.12 0.99 29.00 48.00°C normal
2018-12-23__10:16:43 0.93 1.12 0.99 2.00 48.00°C normal
2018-12-23__10:16:49 0.86 1.10 0.99 25.00 48.00°C normal
2018-12-23__10:16:54 0.79 1.08 0.98 18.00 48.00°C normal
2018-12-23__10:17:00 0.73 1.06 0.98 4.00 47.00°C normal
2018-12-23__10:17:06 0.75 1.06 0.98 7.00 47.00°C normal
2018-12-23__10:17:11 0.85 1.07 0.98 3.00 48.00°C normal
2018-12-23__10:17:17 0.72 1.04 0.97 2.00 48.00°C normal
2018-12-23__10:17:23 1.14 1.12 1.00 7.00 48.00°C normal
2018-12-23__10:17:28 1.05 1.10 0.99 6.00 47.00°C normal
2018-12-23__10:17:34 0.96 1.08 0.99 11.00 49.00°C normal
2018-12-23__10:17:39 0.89 1.07 0.98 7.00 47.00°C normal
2018-12-23__10:17:47 0.91 1.06 0.98 31.00 47.00°C normal
2018-12-23__10:17:53 0.84 1.05 0.98 4.00 47.00°C normal
2018-12-23__10:17:58 0.93 1.06 0.98 3.00 47.00°C normal
2018-12-23__10:18:04 0.94 1.06 0.98 17.00 48.00°C normal
2018-12-23__10:18:10 0.86 1.04 0.98 11.00 47.00°C normal
2018-12-23__10:18:15 0.79 1.02 0.97 12.00 48.00°C normal
2018-12-23__10:18:25 0.75 1.01 0.97 13.00 48.00°C normal
2018-12-23__10:18:31 0.69 0.99 0.96 12.00 48.00°C normal
2018-12-23__10:18:36 0.63 0.97 0.96 6.00 48.00°C normal
2018-12-23__10:18:42 0.70 0.97 0.96 11.00 49.00°C normal
2018-12-23__10:18:48 0.64 0.96 0.95 14.00 49.00°C normal
2018-12-23__10:18:53 0.59 0.94 0.95 7.00 48.00°C normal
2018-12-23__10:19:00 0.54 0.93 0.94 54.00 48.00°C note
2018-12-23__10:19:06 0.50 0.91 0.94 30.00 47.00°C normal
2018-12-23__10:19:12 0.62 0.93 0.94 26.00 47.00°C normal
2018-12-23__10:19:17 0.60 0.91 0.94 33.00 48.00°C normal
2018-12-23__10:19:23 0.71 0.93 0.94 19.00 47.00°C normal
2018-12-23__10:19:29 0.73 0.93 0.94 15.00 47.00°C normal
2018-12-23__10:19:36 0.75 0.94 0.94 26.00 48.00°C normal
2018-12-23__10:19:42 0.64 0.90 0.93 32.00 48.00°C normal
2018-12-23__10:19:48 0.59 0.89 0.93 1.00 48.00°C normal
2018-12-23__10:19:53 0.86 0.94 0.95 5.00 47.00°C normal
2018-12-23__10:30:22 1.14 1.28 1.46 21.00 30.00°C normal
2018-12-23__10:30:29 1.19 1.28 1.46 25.00 30.00°C normal
2018-12-23__10:30:35 1.09 1.26 1.45 22.00 30.00°C normal
2018-12-23__10:34:09 2.01 1.68 1.31 96.00 52.00°C warning
2018-12-23__10:34:15 2.09 1.70 1.31 40.00 52.00°C normal
2018-12-23__10:34:20 2.00 1.69 1.31 48.00 53.00°C normal
2018-12-23__10:34:26 1.92 1.68 1.31 40.00 52.00°C normal
2018-12-23__10:34:32 1.85 1.67 1.31 82.00 52.00°C warning
2018-12-23__10:34:37 1.78 1.65 1.31 40.00 53.00°C normal
2018-12-23__10:34:43 1.72 1.64 1.30 39.00 53.00°C normal
2018-12-23__10:34:48 1.74 1.65 1.31 41.00 52.00°C normal
2018-12-23__10:34:54 2.00 1.71 1.33 41.00 52.00°C normal
2018-12-23__10:35:00 2.00 1.71 1.34 77.00 53.00°C warning
2018-12-23__10:35:05 1.92 1.70 1.33 35.00 53.00°C normal
2018-12-23__10:35:11 1.84 1.69 1.33 50.00 54.00°C note
2018-12-23__10:35:17 1.93 1.71 1.34 29.00 53.00°C normal
2018-12-23__10:35:22 1.86 1.70 1.34 25.00 53.00°C normal
2018-12-23__10:35:28 1.79 1.69 1.34 27.00 52.00°C normal
2018-12-23__10:35:33 1.81 1.69 1.34 27.00 53.00°C normal
2018-12-23__10:35:39 1.68 1.67 1.34 28.00 52.00°C normal
2018-12-23__10:35:45 1.63 1.66 1.34 27.00 52.00°C normal
2018-12-23__10:35:50 1.58 1.65 1.33 29.00 52.00°C normal
2018-12-23__10:35:56 1.53 1.64 1.33 29.00 52.00°C normal
2018-12-23__10:36:01 1.57 1.64 1.34 53.00 52.00°C note
2018-12-23__10:36:07 1.52 1.63 1.33 36.00 52.00°C normal
2018-12-23__10:36:13 1.56 1.64 1.34 38.00 52.00°C normal
2018-12-23__10:36:18 1.84 1.70 1.36 39.00 52.00°C normal
2018-12-23__10:36:24 1.71 1.67 1.35 29.00 52.00°C normal
2018-12-23__10:36:30 1.65 1.66 1.35 27.00 52.00°C normal
